,model,metric,fold,value
162,SupportVector,balanced_accuracy,2,0.7333333333333334
163,SupportVector,balanced_accuracy,3,0.8774074074074074
164,SupportVector,balanced_accuracy,4,0.7988888888888889
165,SupportVector,balanced_accuracy,5,0.8188888888888889
166,SupportVector,balanced_accuracy,6,0.7162962962962962
167,SupportVector,balanced_accuracy,7,0.7603703703703704
168,SupportVector,balanced_accuracy,8,0.7815384615384615
169,SupportVector,balanced_accuracy,9,0.6292307692307693
170,SupportVector,mcc,0,0.33312350897200604
171,SupportVector,mcc,1,0.4398765500800706
172,SupportVector,mcc,2,0.4629100498862757
173,SupportVector,mcc,3,0.7691935318622287
174,SupportVector,mcc,4,0.5849208388379199
175,SupportVector,mcc,5,0.6326437348445768
176,SupportVector,mcc,6,0.44565871858907996
177,SupportVector,mcc,7,0.5066740688254677
178,SupportVector,mcc,8,0.5372486108055937
179,SupportVector,mcc,9,0.254195563720897
180,SupportVector,tn_rate,0,0.44155844155844154
181,SupportVector,tn_rate,1,0.5064935064935064
182,SupportVector,tn_rate,2,0.5194805194805194
183,SupportVector,tn_rate,3,0.6103896103896104
184,SupportVector,tn_rate,4,0.5324675324675324
185,SupportVector,tn_rate,5,0.5584415584415584
186,SupportVector,tn_rate,6,0.5454545454545454
187,SupportVector,tn_rate,7,0.5064935064935064
188,SupportVector,tn_rate,8,0.42105263157894735
189,SupportVector,tn_rate,9,0.47368421052631576
190,SupportVector,fp_rate,0,0.2077922077922078
191,SupportVector,fp_rate,1,0.14285714285714285
192,SupportVector,fp_rate,2,0.12987012987012986
193,SupportVector,fp_rate,3,0.03896103896103896
194,SupportVector,fp_rate,4,0.11688311688311688
195,SupportVector,fp_rate,5,0.09090909090909091
196,SupportVector,fp_rate,6,0.1038961038961039
197,SupportVector,fp_rate,7,0.14285714285714285
198,SupportVector,fp_rate,8,0.23684210526315788
199,SupportVector,fp_rate,9,0.18421052631578946
200,SupportVector,fn_rate,0,0.11688311688311688
201,SupportVector,fn_rate,1,0.11688311688311688
202,SupportVector,fn_rate,2,0.11688311688311688
203,SupportVector,fn_rate,3,0.06493506493506493
204,SupportVector,fn_rate,4,0.07792207792207792
205,SupportVector,fn_rate,5,0.07792207792207792
206,SupportVector,fn_rate,6,0.14285714285714285
207,SupportVector,fn_rate,7,0.09090909090909091
208,SupportVector,fn_rate,8,0.02631578947368421
209,SupportVector,fn_rate,9,0.15789473684210525
210,SupportVector,tp_rate,0,0.23376623376623376
211,SupportVector,tp_rate,1,0.23376623376623376
212,SupportVector,tp_rate,2,0.23376623376623376
213,SupportVector,tp_rate,3,0.2857142857142857
214,SupportVector,tp_rate,4,0.2727272727272727
215,SupportVector,tp_rate,5,0.2727272727272727
216,SupportVector,tp_rate,6,0.2077922077922078
217,SupportVector,tp_rate,7,0.2597402597402597
218,SupportVector,tp_rate,8,0.3157894736842105
219,SupportVector,tp_rate,9,0.18421052631578946
220,SupportVector,relative_accuracy,0,0.9047619047619048
221,SupportVector,relative_accuracy,1,0.95
222,SupportVector,relative_accuracy,2,1.0
223,SupportVector,relative_accuracy,3,0.9565217391304348
224,SupportVector,relative_accuracy,4,1.0
225,SupportVector,relative_accuracy,5,0.9545454545454546
226,SupportVector,relative_accuracy,6,0.9411764705882353
227,SupportVector,relative_accuracy,7,1.0
228,SupportVector,relative_accuracy,8,1.0
229,SupportVector,relative_accuracy,9,0.875
230,SupportVector,relative_recall,0,0.8823529411764706
231,SupportVector,relative_recall,1,0.9333333333333333
232,SupportVector,relative_recall,2,1.0
233,SupportVector,relative_recall,3,0.9444444444444444
234,SupportVector,relative_recall,4,1.0
235,SupportVector,relative_recall,5,0.9285714285714286
236,SupportVector,relative_recall,6,0.9285714285714286
237,SupportVector,relative_recall,7,1.0
238,SupportVector,relative_recall,8,1.0
239,SupportVector,relative_recall,9,0.8181818181818182
240,DecisionTree,accuracy,0,0.7662337662337663
241,DecisionTree,accuracy,1,0.8051948051948052
242,DecisionTree,accuracy,2,0.6753246753246753
243,DecisionTree,accuracy,3,0.8051948051948052
244,DecisionTree,accuracy,4,0.7922077922077922
245,DecisionTree,accuracy,5,0.7792207792207793
246,DecisionTree,accuracy,6,0.7012987012987013
247,DecisionTree,accuracy,7,0.7272727272727273
248,DecisionTree,accuracy,8,0.7105263157894737
249,DecisionTree,accuracy,9,0.618421052631579
250,DecisionTree,precision,0,0.6046511627906976
251,DecisionTree,precision,1,0.6875
252,DecisionTree,precision,2,0.5263157894736842
253,DecisionTree,precision,3,0.7307692307692307
254,DecisionTree,precision,4,0.6774193548387096
255,DecisionTree,precision,5,0.65625
256,DecisionTree,precision,6,0.5526315789473685
257,DecisionTree,precision,7,0.5882352941176471
258,DecisionTree,precision,8,0.5625
259,DecisionTree,precision,9,0.45161290322580644
260,DecisionTree,recall,0,0.9629629629629629
261,DecisionTree,recall,1,0.8148148148148148
262,DecisionTree,recall,2,0.7407407407407407
263,DecisionTree,recall,3,0.7037037037037037
264,DecisionTree,recall,4,0.7777777777777778
265,DecisionTree,recall,5,0.7777777777777778
266,DecisionTree,recall,6,0.7777777777777778
267,DecisionTree,recall,7,0.7407407407407407
268,DecisionTree,recall,8,0.6923076923076923
